ItemPelvisModularChastityBeltOptions2,Medium
ItemPelvisModularChastityBeltOptions3,High
ItemPelvisModularChastityBeltOptionv0,Off
ItemPelvisModularChastityBeltOptionv1,On
ItemPelvisModularChastityBeltSelectBase,Select options
ItemPelvisModularChastityBeltSelectBeltType,Select belt type
ItemPelvisModularChastityBeltSelectCrotchShield,Select shields
ItemPelvisModularChastityBeltSelectIntensity,Select pleasure intensity
ItemPelvisModularChastityBeltSelectOrgasmLock,Select orgasm lock
ItemPelvisModularChastityBeltSelectPlugs,Select inflatable plug(s)
ItemPelvisModularChastityBeltSelectShockModule,Set up shock module
ItemPelvisModularChastityBeltSelectVoiceControl,Set up voice module
ItemPelvisModularChastityBeltSeta0,SourceCharacter changes design of DestinationCharacter AssetName to slim design.
ItemPelvisModularChastityBeltSeta1,SourceCharacter changes design of DestinationCharacter AssetName to classic design.
ItemPelvisModularChastityBeltSetc0,SourceCharacter opens up both shields on DestinationCharacter AssetName.
ItemPelvisModularChastityBeltSetc1,SourceCharacter closes front shield on DestinationCharacter AssetName.
ItemPelvisModularChastityBeltSetc2,SourceCharacter closes back shield on DestinationCharacter AssetName.
ItemPelvisModularChastityBeltSetc3,SourceCharacter closes both shields on DestinationCharacter AssetName.
ItemPelvisModularChastityBeltSeti0,DestinationCharacterName AssetName stops vibrating.
ItemPelvisModularChastityBeltSeti1,DestinationCharacterName AssetName teases lightly.
ItemPelvisModularChastityBeltSeti2,DestinationCharacterName AssetName hums moderately.
ItemPelvisModularChastityBeltSeti3,DestinationCharacterName AssetName buzzes strongly.
ItemPelvisModularChastityBeltSeti4,DestinationCharacterName AssetName vibrates at maximum speed.
ItemPelvisModularChastityBeltSeto0,SourceCharacter deactivates orgasm prevention system on DestinationCharacter AssetName.
ItemPelvisModularChastityBeltSeto1,SourceCharacter sets orgasm prevention system on DestinationCharacter AssetName to edging mode.
ItemPelvisModularChastityBeltSeto2,SourceCharacter sets orgasm prevention system on DestinationCharacter AssetName to denial mode.
ItemPelvisModularChastityBeltSetp0,DestinationCharacterName AssetName plug(s) deflate completely.
ItemPelvisModularChastityBeltSetp1,DestinationCharacterName AssetName plug(s) are slightly inflated and are teasing DestinationCharacter with every move.
ItemPelvisModularChastityBeltSetp2,DestinationCharacterName AssetName plug(s) are inflated and are heavily teasing DestinationCharacter with every move.
ItemPelvisModularChastityBeltSetp3,DestinationCharacterName AssetName plug(s) are bloated and make DestinationCharacter every move a chore.
ItemPelvisModularChastityBeltSetp4,DestinationCharacterName AssetName plug(s) are almost bursting and make DestinationCharacter movement almost impossible.
ItemPelvisModularChastityBeltSets0,SourceCharacter sets DestinationCharacter AssetName shock module to level 1 and turns off automatic shocks.
ItemPelvisModularChastityBeltSets1,SourceCharacter sets DestinationCharacter AssetName shock module to level 1.
ItemPelvisModularChastityBeltSets2,SourceCharacter sets DestinationCharacter AssetName shock module to level 2.
ItemPelvisModularChastityBeltSets3,SourceCharacter sets DestinationCharacter AssetName shock module to level 3.
ItemPelvisModularChastityBeltSetv0,SourceCharacter turns off voice module of DestinationCharacter AssetName.
ItemPelvisModularChastityBeltSetv1,SourceCharacter turns on voice module of DestinationCharacter AssetName.
ItemPelvisObedienceBeltModuleCrotchShield,Crotch Shield
ItemPelvisObedienceBeltModuleEngraving,Engraving
ItemPelvisObedienceBeltModuleShockModule,Shock Module
ItemPelvisObedienceBeltOptionc0,Opened
ItemPelvisObedienceBeltOptionc1,Close Front
ItemPelvisObedienceBeltOptionc2,Close Back
ItemPelvisObedienceBeltOptionc3,Close Both
ItemPelvisObedienceBeltOptione0,Engrave
ItemPelvisObedienceBeltOptions0,Disabled
ItemPelvisObedienceBeltOptions1,Enabled
ItemPelvisObedienceBeltSelectBase,Choose the belt's options.
ItemPelvisObedienceBeltSelectCrotchShield,Choose the crotch shield's state.
ItemPelvisObedienceBeltSelectEngraving,Engrave the belt.
ItemPelvisObedienceBeltSelectShockModule,Select the shock module configuration.
ItemPelvisObedienceBeltSetc0,SourceCharacter opens the crotch shield on DestinationCharacter obedience belt.
ItemPelvisObedienceBeltSetc1,SourceCharacter closes the front crotch shield of DestinationCharacter obedience belt.
ItemPelvisObedienceBeltSetc2,SourceCharacter closes the back crotch shield on DestinationCharacter obedience belt.
ItemPelvisObedienceBeltSetc3,SourceCharacter closes both crotch shields on DestinationCharacter obedience belt.
ItemPelvisObedienceBeltSets0,SourceCharacter removes the shock module from DestinationCharacter obedience belt.
ItemPelvisObedienceBeltSets1,SourceCharacter sets up the shock module on DestinationCharacter obedience belt.
ItemPelvisPoofyDiaperPoofy,Extra Padding
ItemPelvisPoofyDiaperRegularPadding,Regular Padding
ItemPelvisPoofyDiaperSelect,Select the amount of padding.
ItemPelvisPoofyDiaperSetPoofy,Extra padding is added to DestinationCharacterName poofy diaper. Making it crinkle louder and force the baby to waddle.
ItemPelvisPoofyDiaperSetRegularPadding,The extra padding is removed from DestinationCharacterName poofy diaper. Though it is still embarrassingly huge.
ItemPelvisPortalPantiesModuleCode,Portal options
ItemPelvisPortalPantiesModuleCrotchCover,Crotch Cover
ItemPelvisPortalPantiesModuleCrotchShield,Crotch Shield
ItemPelvisPortalPantiesOptionc0,Open
ItemPelvisPortalPantiesOptionc1,Close Front
ItemPelvisPortalPantiesOptionc2,Close Back
ItemPelvisPortalPantiesOptionc3,Close Both
ItemPelvisPortalPantiesOptionco0,Detached Unit
ItemPelvisPortalPantiesOptionco1,Attached Unit
ItemPelvisPortalPantiesOptiono0,Configuration screen
ItemPelvisPortalPantiesSelect,Select Cover
ItemPelvisPortalPantiesSelectBase,Select options
ItemPelvisPortalPantiesSelectBase,Select options
ItemPelvisPortalPantiesSelectCode,Open configuration screen
ItemPelvisPortalPantiesSelectCrotchCover,Select Crotch Cover
ItemPelvisPortalPantiesSelectCrotchShield,Select crotch shield
ItemPelvisPortalPantiesSetc0,The front and rear chastity shields on DestinationCharacterName AssetName open.
ItemPelvisPortalPantiesSetc1,The front chastity shield on DestinationCharacterName AssetName closes.
ItemPelvisPortalPantiesSetc2,The rear chastity shield on DestinationCharacterName AssetName closes.
ItemPelvisPortalPantiesSetc3,The front and rear chastity shields on DestinationCharacterName AssetName close.
ItemPelvisPortalPantiesSetco0,SourceCharacter detaches the unit on DestinationCharacter portal panties.
ItemPelvisPortalPantiesSetco1,SourceCharacter attaches the unit on DestinationCharacter portal panties.
ItemPelvisSciFiPleasurePantiesModuleCrotchShield,Crotch Shield
ItemPelvisSciFiPleasurePantiesModuleIntensity,Intensity
ItemPelvisSciFiPleasurePantiesModuleOrgasmLock,Orgasm Lock
ItemPelvisSciFiPleasurePantiesModuleShockLevel,Shock Level
ItemPelvisSciFiPleasurePantiesOptionc0,Open
ItemPelvisSciFiPleasurePantiesOptionc1,Close Front
ItemPelvisSciFiPleasurePantiesOptionc2,Close Back
ItemPelvisSciFiPleasurePantiesOptionc3,Close Both
ItemPelvisSciFiPleasurePantiesOptioni0,Turn Off
ItemPelvisSciFiPleasurePantiesOptioni1,Low
ItemPelvisSciFiPleasurePantiesOptioni2,Medium
ItemPelvisSciFiPleasurePantiesOptioni3,High
ItemPelvisSciFiPleasurePantiesOptioni4,Maximum
ItemPelvisSciFiPleasurePantiesOptiono0,Normal Mode
ItemPelvisSciFiPleasurePantiesOptiono1,Edge Mode
ItemPelvisSciFiPleasurePantiesOptiono2,Denial Mode
ItemPelvisSciFiPleasurePantiesOptions0,Low
ItemPelvisSciFiPleasurePantiesOptions1,Medium
ItemPelvisSciFiPleasurePantiesOptions2,High
ItemPelvisSciFiPleasurePantiesSelectBase,Select options
ItemPelvisSciFiPleasurePantiesSelectCrotchShield,Select crotch shield
ItemPelvisSciFiPleasurePantiesSelectIntensity,Select intensity
ItemPelvisSciFiPleasurePantiesSelectOrgasmLock,Select orgasm lock
ItemPelvisSciFiPleasurePantiesSelectShockLevel,Select shock level
ItemPelvisSciFiPleasurePantiesSetc0,The front and rear chastity shields on TargetCharacterName's AssetName open.
ItemPelvisSciFiPleasurePantiesSetc1,The front chastity shields on TargetCharacterName's AssetName closes.
ItemPelvisSciFiPleasurePantiesSetc2,The rear chastity shields on TargetCharacterName's AssetName closes.
ItemPelvisSciFiPleasurePantiesSetc3,The front and rear chastity shields on TargetCharacterName's AssetName close.
ItemPelvisSciFiPleasurePantiesSetDecreasei0,TargetCharacterName's AssetName vibration mode is deactivated.
ItemPelvisSciFiPleasurePantiesSetDecreasei1,TargetCharacterName's AssetName slows down to tease vibe mode.
ItemPelvisSciFiPleasurePantiesSetDecreasei2,TargetCharacterName's AssetName returns to vibration level 1.
ItemPelvisSciFiPleasurePantiesSetDecreasei3,TargetCharacterName's AssetName slows down to vibration level 2.
ItemPelvisSciFiPleasurePantiesSetIncreasei1,TargetCharacterName's AssetName activates tease vibe mode.
ItemPelvisSciFiPleasurePantiesSetIncreasei2,TargetCharacterName's AssetName builds up to vibration level 1.
ItemPelvisSciFiPleasurePantiesSetIncreasei3,TargetCharacterName's AssetName starts buzzing at vibration level 2!
ItemPelvisSciFiPleasurePantiesSetIncreasei4,TargetCharacterName's AssetName jumps up to vibration level 3!
ItemPelvisSciFiPleasurePantiesSeto0,"The special mode on TargetCharacterName's AssetName deactivates, allowing orgasms again."
ItemPelvisSciFiPleasurePantiesSeto1,"The edging mode on TargetCharacterName's AssetName activates, preventing orgasms no matter what."
ItemPelvisSciFiPleasurePantiesSeto2,"The denial mode on TargetCharacterName's AssetName activates, teasing them endlessly."
ItemPelvisSciFiPleasurePantiesSets0,TargetCharacterName's AssetName are set to shock level 1.
ItemPelvisSciFiPleasurePantiesSets1,TargetCharacterName's AssetName are set to shock level 2.
ItemPelvisSciFiPleasurePantiesSets2,TargetCharacterName's AssetName are set to shock level 3.
ItemPelvisWhip,(You need a few tries but you're able to somewhat whip your own butt and feel the pain.)
ItemTorso2LockingSwimsuitDull,Dull
ItemTorso2LockingSwimsuitSelect,Select Shine
ItemTorso2LockingSwimsuitSetDull,SourceCharacter dulls DestinationCharacter locking swimsuit.
ItemTorso2LockingSwimsuitSetShiny,SourceCharacter shines DestinationCharacter locking swimsuit.
ItemTorso2LockingSwimsuitShiny,Shiny
ItemTorso2NavelBar1ModuleChain,Chain
ItemTorso2NavelBar1ModuleJewel,Jewel
ItemTorso2NavelBar1Optionc0,Detached
ItemTorso2NavelBar1Optionc1,Single Chain
ItemTorso2NavelBar1Optionc2,Waist Chain
ItemTorso2NavelBar1Optionj0,Detached
ItemTorso2NavelBar1Optionj1,Attached
ItemTorso2NavelBar1SelectBase,Customise Navel Bar.
ItemTorso2NavelBar1SelectChain,Choose Chain Option.
ItemTorso2NavelBar1SelectJewel,Choose Jewel Option.
ItemTorso2NavelBar1Setc0,SourceCharacter removes the chain from DestinationCharacter navel bar.
ItemTorso2NavelBar1Setc1,SourceCharacter adds a single chain to DestinationCharacter navel bar.
ItemTorso2NavelBar1Setc2,SourceCharacter adds a waist chain to DestinationCharacter navel bar.
ItemTorso2NavelBar1Setj0,SourceCharacter removes the jewel from DestinationCharacter navel bar.
ItemTorso2NavelBar1Setj1,SourceCharacter adds a jewel to DestinationCharacter navel bar.
ItemTorso2ThinLeatherStrapsCrotch,Crotch Strap
ItemTorso2ThinLeatherStrapsHarness,Harness
ItemTorso2ThinLeatherStrapsSelect,Select strap bondage.
ItemTorso2ThinLeatherStrapsSetCrotch,SourceCharacter uses the straps on DestinationCharacter to create a crotch strap.
ItemTorso2ThinLeatherStrapsSetHarness,SourceCharacter uses the straps on DestinationCharacter to create a harness.
ItemTorso2ThinLeatherStrapsSetWaist,SourceCharacter uses the straps on DestinationCharacter to create a waist strap.
ItemTorso2ThinLeatherStrapsWaist,Waist Strap
ItemTorsoFuturisticHarnessFull,Full
ItemTorsoFuturisticHarnessLower,Lower
ItemTorsoFuturisticHarnessSelect,Select device mode:
ItemTorsoFuturisticHarnessSetFull,SourceCharacter configures DestinationCharacter harness to surround the whole body in straps.
ItemTorsoFuturisticHarnessSetLower,SourceCharacter moves DestinationCharacter harness to the lower body.
ItemTorsoFuturisticHarnessSetUpper,SourceCharacter moves DestinationCharacter harness to the upper body.
ItemTorsoFuturisticHarnessUpper,Upper
ItemTorsoLockingSwimsuitDull,Dull
ItemTorsoLockingSwimsuitSelect,Select Shine
ItemTorsoLockingSwimsuitSetDull,SourceCharacter dulls DestinationCharacter locking swimsuit.
ItemTorsoLockingSwimsuitSetShiny,SourceCharacter shines DestinationCharacter locking swimsuit.
ItemTorsoLockingSwimsuitShiny,Shiny
ItemTorsoNavelBar1ModuleChain,Chain
ItemTorsoNavelBar1ModuleJewel,Jewel
ItemTorsoNavelBar1Optionc0,Detached
ItemTorsoNavelBar1Optionc1,Single Chain
ItemTorsoNavelBar1Optionc2,Waist Chain
ItemTorsoNavelBar1Optionj0,Detached
ItemTorsoNavelBar1Optionj1,Attached
ItemTorsoNavelBar1SelectBase,Customise Navel Bar.
ItemTorsoNavelBar1SelectChain,Choose Chain Option.
ItemTorsoNavelBar1SelectJewel,Choose Jewel Option.
ItemTorsoNavelBar1Setc0,SourceCharacter removes the chain from DestinationCharacter navel bar.
ItemTorsoNavelBar1Setc1,SourceCharacter adds a single chain to DestinationCharacter navel bar.
ItemTorsoNavelBar1Setc2,SourceCharacter adds a waist chain to DestinationCharacter navel bar.
ItemTorsoNavelBar1Setj0,SourceCharacter removes the jewel from DestinationCharacter navel bar.
ItemTorsoNavelBar1Setj1,SourceCharacter adds a jewel to DestinationCharacter navel bar.
ItemTorsoThinLeatherStrapsCrotch,Crotch Strap
ItemTorsoThinLeatherStrapsHarness,Harness
ItemTorsoThinLeatherStrapsSelect,Select strap bondage.
ItemTorsoThinLeatherStrapsSetCrotch,SourceCharacter uses the straps on DestinationCharacter to create a crotch strap.
ItemTorsoThinLeatherStrapsSetHarness,SourceCharacter uses the straps on DestinationCharacter to create a harness.
ItemTorsoThinLeatherStrapsSetWaist,SourceCharacter uses the straps on DestinationCharacter to create a waist strap.
ItemTorsoThinLeatherStrapsWaist,Waist Strap
ItemVulvaClitAndDildoVibratorbeltDecreased0,DestinationCharacterName vibrating dildo stops vibrating.
ItemVulvaClitAndDildoVibratorbeltDecreased1,DestinationCharacterName vibrating dildo slows down into a light tease.
ItemVulvaClitAndDildoVibratorbeltDecreased2,DestinationCharacterName vibrating dildo returns to a moderate pace.
ItemVulvaClitAndDildoVibratorbeltDecreased3,DestinationCharacterName vibrating dildo slows down a tiny bit.
ItemVulvaClitAndDildoVibratorbeltDecreasee0,DestinationCharacterName vibrating egg stops vibrating.
ItemVulvaClitAndDildoVibratorbeltDecreasee1,DestinationCharacterName vibrating egg slows down into a light tease.
ItemVulvaClitAndDildoVibratorbeltDecreasee2,DestinationCharacterName vibrating egg returns to a moderate pace.
ItemVulvaClitAndDildoVibratorbeltDecreasee3,DestinationCharacterName vibrating egg slows down a tiny bit.
ItemVulvaClitAndDildoVibratorbeltIncreased1,DestinationCharacterName vibrating dildo starts teasing TargetPronounObject lightly.
ItemVulvaClitAndDildoVibratorbeltIncreased2,DestinationCharacterName vibrating dildo builds up to a moderate pace.
ItemVulvaClitAndDildoVibratorbeltIncreased3,DestinationCharacterName vibrating dildo starts buzzing strongly!
ItemVulvaClitAndDildoVibratorbeltIncreased4,DestinationCharacterName vibrating dildo jumps up to maximum intensity!
ItemVulvaClitAndDildoVibratorbeltIncreasee1,DestinationCharacterName vibrating egg starts teasing TargetPronounObject lightly.
ItemVulvaClitAndDildoVibratorbeltIncreasee2,DestinationCharacterName vibrating egg builds up to a moderate pace.
ItemVulvaClitAndDildoVibratorbeltIncreasee3,DestinationCharacterName vibrating egg starts buzzing strongly!
ItemVulvaClitAndDildoVibratorbeltIncreasee4,DestinationCharacterName vibrating egg jumps up to maximum intensity!
ItemVulvaClitAndDildoVibratorbeltModuleDildoIntensity,Dildo Intensity
ItemVulvaClitAndDildoVibratorbeltModuleEggIntensity,Egg Intensity
ItemVulvaClitAndDildoVibratorbeltOptiond0,Turn Off
ItemVulvaClitAndDildoVibratorbeltOptiond1,Low
ItemVulvaClitAndDildoVibratorbeltOptiond2,Medium
ItemVulvaClitAndDildoVibratorbeltOptiond3,High
ItemVulvaClitAndDildoVibratorbeltOptiond4,Maximum
ItemVulvaClitAndDildoVibratorbeltOptione0,Turn Off
ItemVulvaClitAndDildoVibratorbeltOptione1,Low
ItemVulvaClitAndDildoVibratorbeltOptione2,Medium
ItemVulvaClitAndDildoVibratorbeltOptione3,High
ItemVulvaClitAndDildoVibratorbeltOptione4,Maximum
ItemVulvaClitAndDildoVibratorbeltSelectBase,Select options
ItemVulvaClitAndDildoVibratorbeltSelectDildoIntensity,Select dildo intensity
ItemVulvaClitAndDildoVibratorbeltSelectEggIntensity,Select egg intensity
ItemVulvaDoubleEndDildoLarge,Large Size
ItemVulvaDoubleEndDildoNormal,Normal Size
ItemVulvaDoubleEndDildoSelect,Select the size of the double ended dildo.
ItemVulvaDoubleEndDildoSetLarge,DestinationCharacterName AssetName grows to it's large size.
ItemVulvaDoubleEndDildoSetNormal,DestinationCharacterName AssetName shrinks down to it's normal size.
ItemVulvaPiercingsRoundClitPiercingBell,Bell
ItemVulvaPiercingsRoundClitPiercingChain,Chain
ItemVulvaPiercingsRoundClitPiercingHaremChain,Harem Chains
ItemVulvaPiercingsRoundClitPiercingRing,Ring
ItemVulvaPiercingsRoundClitPiercingSelect,Choose piercing addons.
ItemVulvaPiercingsRoundClitPiercingSetBell,SourceCharacter adds a small bell onto DestinationCharacter clit piercing.
ItemVulvaPiercingsRoundClitPiercingSetChain,SourceCharacter links DestinationCharacter clit piercing to TargetPronounPossessive nipple rings with a chain.
ItemVulvaPiercingsRoundClitPiercingSetHaremChain,SourceCharacter links DestinationCharacter clit piercing to TargetPronounPossessive nipple rings with a small veiled chain.
ItemVulvaPiercingsRoundClitPiercingSetRing,SourceCharacter removes addons from DestinationCharacter clit piercing.
ItemVulvaPiercingsRoundClitPiercingSetWeight,SourceCharacter adds a small weight onto DestinationCharacter clit piercing.
ItemVulvaPiercingsRoundClitPiercingWeight,Weight
ItemVulvaPiercingsUrethralSoundIn,Fully In
ItemVulvaPiercingsUrethralSoundOut,Half Out
ItemVulvaPiercingsUrethralSoundSelect,Choose how far the sound is inside.
ItemVulvaPiercingsUrethralSoundSetIn,SourceCharacter pushes DestinationCharacter urethral sound fully inside.
ItemVulvaPiercingsUrethralSoundSetOut,SourceCharacter pulls DestinationCharacter urethral sound halfway outside
ItemVulvaStitchesCross,Crossed
ItemVulvaStitchesSelect,Choose stitches
ItemVulvaStitchesSetCross,SourceCharacter stitches DestinationCharacter pussy shut with crossed threads.
ItemVulvaStitchesSetSkewed,SourceCharacter stitches DestinationCharacter pussy shut with a spiraling thread.
ItemVulvaStitchesSetStraight,SourceCharacter stitches DestinationCharacter pussy shut with horizontal threads.
ItemVulvaStitchesSetZigZag,SourceCharacter stitches DestinationCharacter pussy shut with a zigzagging thread.
ItemVulvaStitchesSkewed,Skewed
ItemVulvaStitchesStraight,Straight
ItemVulvaStitchesZigZag,Zig Zag
ItemVulvaVibratingWand,(You slowly massage your pussy with the wand.  Trembling from pleasure and excitement.)
JewelryJewelrySetModuleEars1,Right Ear
JewelryJewelrySetModuleEars2,Left Ear
JewelryJewelrySetModuleFace,Face
JewelryJewelrySetModuleNose,Nose
JewelryJewelrySetOptiona0,None
JewelryJewelrySetOptiona1,Stud
JewelryJewelrySetOptiona10,Cartilage
JewelryJewelrySetOptiona11,Industrial Mix
JewelryJewelrySetOptiona2,Ring
JewelryJewelrySetOptiona3,Hoop
JewelryJewelrySetOptiona4,Industrial
JewelryJewelrySetOptiona5,Large Stud
JewelryJewelrySetOptiona6,Two Studs
JewelryJewelrySetOptiona7,Three Studs
JewelryJewelrySetOptiona8,Two Rings
JewelryJewelrySetOptiona9,Three Rings
JewelryJewelrySetOptione0,None
JewelryJewelrySetOptione1,Stud
JewelryJewelrySetOptione10,Cartilage
JewelryJewelrySetOptione11,Industrial Mix
JewelryJewelrySetOptione2,Ring
JewelryJewelrySetOptione3,Hoop
JewelryJewelrySetOptione4,Industrial
JewelryJewelrySetOptione5,Large Stud
JewelryJewelrySetOptione6,Two Studs
JewelryJewelrySetOptione7,Three Studs
JewelryJewelrySetOptione8,Two Rings
JewelryJewelrySetOptione9,Three Rings
JewelryJewelrySetOptionf0,None
JewelryJewelrySetOptionf1,Double Dermals
JewelryJewelrySetOptionf10,Dermals and Cheeks
JewelryJewelrySetOptionf11,Cheeks Bridge and Dermals
JewelryJewelrySetOptionf2,Left Dermals
JewelryJewelrySetOptionf3,Right Dermals
JewelryJewelrySetOptionf4,Bridge Piercing
JewelryJewelrySetOptionf5,Left Monroe
JewelryJewelrySetOptionf6,Right Monroe
JewelryJewelrySetOptionf7,Cheek Studs
JewelryJewelrySetOptionf8,Cheeks and Bridge
JewelryJewelrySetOptionf9,Bridge and Dermals
JewelryJewelrySetOptionn0,None
JewelryJewelrySetOptionn1,Septum Ring
JewelryJewelrySetOptionn2,Left Stud
JewelryJewelrySetOptionn3,Right Stud
JewelryJewelrySetOptionn4,Left Ring
JewelryJewelrySetOptionn5,Right Ring
JewelryJewelrySetSelectBase,Select Piercings
JewelryJewelrySetSelectEars1,Select Right Ear Piercings
JewelryJewelrySetSelectEars2,Select Left Ear Piercings
JewelryJewelrySetSelectFace,Select Facial Piercings
JewelryJewelrySetSelectNose,Select Nose Piercings
KinkyDungeonExit,SourceCharacter quit a game of Kinky Dungeon at level KinkyDungeonLevel
KinkyDungeonLose,SourceCharacter met TargetPronounPossessive defeat in Kinky Dungeon! PronounSubject made it to level KinkyDungeonLevel before succumbing.
KneelDown,SourceCharacter kneels down
KneelDownFail,SourceCharacter almost loses PronounPossessive balance trying to kneel down!
KneelDownPass,SourceCharacter carefully lowers PronounSelf down.
LactationPumpHighSuction,High
LactationPumpLowSuction,Low
LactationPumpMaximumSuction,Maximum
LactationPumpMediumSuction,Medium
LactationPumpOff,Off
LactationPumpPowerloosensToHighSuction,SourceCharacter turns DestinationCharacter lactation pump down to high suction.
LactationPumpPowerloosensToLowSuction,SourceCharacter turns DestinationCharacter lactation pump down to low suction.
LactationPumpPowerloosensToMediumSuction,SourceCharacter turns DestinationCharacter lactation pump down to normal suction.
LactationPumpPowerloosensToOff,SourceCharacter turns DestinationCharacter lactation pump off.
LactationPumpPowertightensToHighSuction,SourceCharacter turns DestinationCharacter lactation pump to high suction.
LactationPumpPowertightensToLowSuction,SourceCharacter turns DestinationCharacter lactation pump to low suction.
LactationPumpPowertightensToMaximumSuction,SourceCharacter turns DestinationCharacter lactation pump to maximum suction.
LactationPumpPowertightensToMediumSuction,SourceCharacter turns DestinationCharacter lactation pump to normal suction.
LactationPumpSelectSetting,Select lactation pump setting
LactationPumpSuctionEvent,The UsedAsset on TargetCharacterName hums as it starts to express some milk.
LargeBeltStyleFit,Fit
LargeBeltStyleLoose,Loose
LARPChangeTeamClass,SourceCharacter selects PronounPossessive team and class.
LARPGameStart,SourceCharacter has started the LARP game.
LatexApronSelectType,Choose your apron model:
LatexApronTypeBottom,Bottom only
LatexApronTypeFull,Normal apron
LatexCorset1Garter,With garters
LatexCorset1Garterless,No garters
LatexCorset1Select,Select corset style
LatexCorset1SetGarter,SourceCharacter adds garters to DestinationCharacter latex corset.
LatexCorset1SetGarterless,SourceCharacter removes the garters from DestinationCharacter latex corset.
LatexMuzzleMaskMouthSetLoose,SourceCharacter loosens DestinationCharacter mask
LatexMuzzleMaskMouthSetNormal,SourceCharacter turns DestinationCharacter mask back to normal.
LatexMuzzleMaskMouthSetPanel,SourceCharacter closes a panel around DestinationCharacter mask.
LatexMuzzleMaskMouthTypeLoose,Loose
LatexMuzzleMaskMouthTypeNormal,Normal
LatexMuzzleMaskMouthTypePanel,Panel
LeatherDeluxeAnkleCuffsPoseChained,Chain Attached
LeatherDeluxeAnkleCuffsPoseClosed,Chain Closed
LeatherDeluxeAnkleCuffsPoseNone,Detached
LeatherDeluxeAnkleCuffsRestrainChained,SourceCharacter attaches the Leather Deluxe ankle cuffs chain on DestinationCharacter ankles.
LeatherDeluxeAnkleCuffsRestrainClosed,SourceCharacter attaches the Leather Deluxe ankle cuffs chain on DestinationCharacter ankles.
LeatherDeluxeAnkleCuffsRestrainNone,SourceCharacter detaches the chain from DestinationCharacter Leather Deluxe ankle cuffs.
LegChainSetBasic,SourceCharacter uses the chain on TargetCharacter to do a basic tie.
LegChainSetStrict,SourceCharacter uses the chain on TargetCharacter to do a strict tie.
LegChainSetSuspension,SourceCharacter uses the chain on TargetCharacter to do a suspension tie.
LegRopeSetBasic,SourceCharacter uses the rope on TargetCharacter to do a basic tie.
LegRopeSetBedSpreadEagle,SourceCharacter uses the rope on TargetCharacter to tie TargetPronounPossessive legs to the bedposts.
LegRopeSetCrossed,SourceCharacter uses the rope on TargetCharacter to do a crossed style binding tie.
LegRopeSetDiamond,SourceCharacter uses the rope on TargetCharacter to do a diamond style tie.
LegRopeSetFrogtie,SourceCharacter uses the rope on TargetCharacter to do a frogtie tie.
LegRopeSetFullBinding,SourceCharacter uses the rope on TargetCharacter to do a full binding tie.
LegRopeSetKnees,SourceCharacter ties the rope above TargetCharacter's knees.
LegRopeSetKneesThighs,SourceCharacter uses the ropes to tie TargetCharacter's knees and thighs.
LegRopeSetLink,SourceCharacter uses the rope on TargetCharacter to do a full binding with links tie in.
LegRopeSetMermaid,SourceCharacter uses the rope on TargetCharacter to do a mermaid tie.
LegRopeSetSuspension,SourceCharacter uses the rope on TargetCharacter to do a suspension tie.
LegRopeSetThighs,SourceCharacter uses the rope to tie TargetCharacter's thighs.
LegsCannotClose,Legs cannot close.
LegsCannotOpen,Legs cannot open.
Light,Light
LightSuction,Light
Locked,Locked
LockMittens,Padlock mitten buckles
Loose,Loose
Low,Low
loosens,loosens
LuckyWheelAddSection,Add
LuckyWheelRemoveSection,Remove
LuckyWheelSectionDefaultLabel,Prize NUM
LuckyWheelStartTurning,SourceCharacter grabs DestinationCharacter lucky wheel and spins it!
LuckyWheelStoppedTurning,SourceCharacter's lucky wheel clicked wildly until it finally stopped on “SectionName”.
LuckyWheelTrigger,Spin the wheel!
MagicBattleGameStart,SourceCharacter has started the Magic Battle.
MaidDrinkPickBeerPitcher,"SourceCharacter buys a beer pitcher for everyone, from TargetCharacter."
MaidDrinkPickCappuccino,SourceCharacter buys a cappuccino from DestinationCharacter tray.
MaidDrinkPickChampagne,SourceCharacter buys a glass of champagne from TargetCharacter.
MaidDrinkPickEspresso,SourceCharacter buys an espresso from DestinationCharacter tray.
MaidDrinkPickFreeBeer,SourceCharacter picks a beer from DestinationCharacter tray.
MaidDrinkPickFreeCoffee,SourceCharacter picks a coffee from DestinationCharacter tray.
MaidDrinkPickFreeOrangeJuice,SourceCharacter picks an orange juice from DestinationCharacter tray.
MaidDrinkPickFreeTea,SourceCharacter picks a tea from DestinationCharacter tray.
MaidDrinkPickFreeWater,SourceCharacter picks a glass of water from DestinationCharacter tray.
MaidDrinkPickFreeWine,SourceCharacter picks a glass of wine from DestinationCharacter tray.
MaidDrinkPickHotChocolate,SourceCharacter buys a hot chocolate from DestinationCharacter tray.
MaidDrinkPickLemonadeJug,"SourceCharacter buys a jug of refreshing lemonade for everyone, from TargetCharacter."
MaidDrinkPickMargarita,SourceCharacter buys a Margarita from DestinationCharacter tray.
MaidDrinkPickRoundShooters,"SourceCharacter buys a round of shooters for everyone, from TargetCharacter."
MaidDrinkPickSexOnTheBeachJug,"SourceCharacter buys a jug of Sex on the Beach for everyone, from TargetCharacter."
MaidDrinkPickVirginMojito,SourceCharacter buys a Virgin Mojito from DestinationCharacter tray.
MaidDrinkPickWhiskey,SourceCharacter buys a glass of Whiskey from TargetCharacter.
MaskDroneMaskModuleEyes,Eyes
